,RUN,AverageLogRT
0,Run2,0.01275830089723855
1,Run3,-0.02472768060258652
2,Run4,0.007501632537865573
3,Run5,-0.039700737357248196
4,Run6,0.029529378588986282
5,Run7,0.10098615206801966
6,Run8,0.06159237206131799
7,Run9,-0.05611306670092034
8,Run11,0.026867765279470365
9,Run12,-0.054532144551999666
10,Run14,0.017867724685937378
11,Run15,-0.015755610687364866
12,Run16,-0.048831319730370575
13,Run17,0.00022570818751460378
14,Run18,-0.10897405369139254
15,Run19,4.739327988289977e-05
16,Run20,-0.049484030262399246
17,Run21,-0.02391582741054019
18,Run23,-0.029122902806596733
19,Run24,-0.03473025161625737
20,Run26,-0.09734014209458479
21,Run27,-0.14570425238081117
22,Run28,-0.15639747930601897
23,Run29,-0.14235129288569617
24,Run30,-0.1348510953903888
25,Run31,-0.10233106783199448
26,Run32,-0.07051798424335043
27,Run33,-0.08991450833944548
28,Run35,-0.1449090750816629
29,Run36,0.001263875687015285
